x,y,z,qx,qy,qz,qw
-1.48012,-0.788761,0.151469,-0.593886,-0.255247,-0.501266,-0.501266
-1.51009,-0.793697,0.151211,-0.593598,-0.253781,-0.501786,-0.501786
-1.54174,-0.801875,0.150601,-0.591895,-0.253169,-0.50237,-0.50237
-1.57811,-0.808864,0.147144,-0.590578,-0.252553,-0.50327,-0.50327
-1.61712,-0.807933,0.141334,-0.589927,-0.251428,-0.505151,-0.505151
-1.65513,-0.8009,0.136912,-0.590338,-0.249193,-0.507581,-0.507581
-1.69431,-0.796475,0.132003,-0.591615,-0.246663,-0.509891,-0.509891
-1.73513,-0.795032,0.127119,-0.593352,-0.244232,-0.511588,-0.511588
-1.77385,-0.791017,0.122295,-0.595453,-0.241831,-0.512956,-0.512956
-1.81483,-0.782463,0.120766,-0.597698,-0.239785,-0.513763,-0.513763
-1.85469,-0.775325,0.120723,-0.59902,-0.238832,-0.513276,-0.513276
-1.89518,-0.765258,0.123708,-0.599118,-0.238815,-0.512062,-0.512062
-1.93439,-0.760248,0.130313,-0.597064,-0.241059,-0.509455,-0.509455
-1.97072,-0.7437,0.140524,-0.594524,-0.242423,-0.507613,-0.507613
-2.00768,-0.735193,0.150439,-0.593172,-0.243592,-0.504592,-0.504592
-2.04319,-0.724901,0.159624,-0.594593,-0.243174,-0.502029,-0.502029
-2.07844,-0.713041,0.16617,-0.598316,-0.241328,-0.499924,-0.499924
-2.11192,-0.70194,0.171242,-0.602562,-0.238764,-0.498002,-0.498002
-2.14161,-0.696475,0.173234,-0.604663,-0.237522,-0.495296,-0.495296
-2.17416,-0.689704,0.173022,-0.603492,-0.237894,-0.491472,-0.491472
-2.20814,-0.686475,0.170218,-0.599388,-0.239924,-0.48666,-0.48666
-2.23907,-0.680583,0.166769,-0.59446,-0.242051,-0.481558,-0.481558
-2.27057,-0.676569,0.161877,-0.590598,-0.243539,-0.476831,-0.476831
-2.30369,-0.67267,0.156269,-0.588621,-0.24386,-0.472744,-0.472744
-2.33969,-0.67083,0.149655,-0.587624,-0.243508,-0.468961,-0.468961
-2.37313,-0.6719,0.141497,-0.586348,-0.243274,-0.464939,-0.464939
-2.40577,-0.673879,0.132234,-0.584755,-0.242656,-0.460984,-0.460984
-2.43979,-0.676708,0.124007,-0.583107,-0.241976,-0.457143,-0.457143
-2.47708,-0.679803,0.117578,-0.581338,-0.240994,-0.453526,-0.453526
-2.5116,-0.685698,0.114435,-0.579433,-0.23924,-0.450022,-0.450022
-2.56555,-0.687666,0.11852,-0.578152,-0.237197,-0.447609,-0.447609
-2.60262,-0.693656,0.123561,-0.578433,-0.234173,-0.445645,-0.445645
-2.64738,-0.698989,0.128605,-0.580434,-0.2302,-0.443691,-0.443691
-2.68508,-0.702259,0.13199,-0.584874,-0.22511,-0.442283,-0.442283
-2.72883,-0.702032,0.134788,-0.591226,-0.219448,-0.441724,-0.441724
-2.76532,-0.699899,0.138074,-0.597806,-0.213578,-0.441723,-0.441723
-2.7982,-0.698921,0.141012,-0.601863,-0.209174,-0.442057,-0.442057
-2.83144,-0.697865,0.142899,-0.603304,-0.206477,-0.442631,-0.442631
-2.86758,-0.695053,0.144392,-0.603848,-0.205083,-0.443351,-0.443351
-2.90381,-0.692722,0.144156,-0.605103,-0.2041,-0.444598,-0.444598
-2.94252,-0.68867,0.14121,-0.60842,-0.203052,-0.446403,-0.446403
-2.98427,-0.683852,0.138074,-0.613497,-0.20146,-0.448666,-0.448666
-3.01931,-0.673358,0.135627,-0.619852,-0.199746,-0.451169,-0.451169
-3.05627,-0.664672,0.133235,-0.626132,-0.198801,-0.452863,-0.452863
-3.09795,-0.654458,0.130562,-0.631525,-0.198985,-0.453747,-0.453747
-3.13928,-0.6453,0.130539,-0.635051,-0.201092,-0.453605,-0.453605
-3.17689,-0.636635,0.131476,-0.636601,-0.204832,-0.452652,-0.452652
-3.22173,-0.627659,0.137214,-0.636389,-0.2101,-0.450683,-0.450683
-3.26508,-0.61937,0.145594,-0.634839,-0.216322,-0.447901,-0.447901
-3.30482,-0.610724,0.154047,-0.631948,-0.223058,-0.444607,-0.444607
-3.34605,-0.604314,0.16192,-0.629006,-0.229735,-0.440937,-0.440937
-3.38133,-0.598277,0.168408,-0.627671,-0.235135,-0.437522,-0.437522
-3.41647,-0.591518,0.173568,-0.627826,-0.239546,-0.434371,-0.434371
-3.44808,-0.585918,0.177601,-0.628934,-0.242929,-0.431643,-0.431643
-3.48071,-0.581264,0.180279,-0.629698,-0.246171,-0.428637,-0.428637
-3.51204,-0.576115,0.180742,-0.628706,-0.249822,-0.425009,-0.425009
-3.54252,-0.574097,0.180774,-0.625372,-0.254619,-0.419991,-0.419991
-3.57404,-0.572262,0.178421,-0.620278,-0.260018,-0.414156,-0.414156
-3.60933,-0.570051,0.174459,-0.615561,-0.264922,-0.408272,-0.408272
-3.64735,-0.566763,0.169425,-0.612414,-0.268837,-0.402883,-0.402883
-3.68226,-0.567057,0.164225,-0.610457,-0.27142,-0.397593,-0.397593
-3.71845,-0.56917,0.155537,-0.609073,-0.272819,-0.392608,-0.392608
-3.75736,-0.572127,0.146671,-0.608327,-0.273092,-0.388064,-0.388064
-3.79874,-0.575655,0.139256,-0.60794,-0.272535,-0.384072,-0.384072
-3.84263,-0.581005,0.134597,-0.607168,-0.271253,-0.380178,-0.380178
-3.88175,-0.588224,0.13203,-0.606392,-0.269112,-0.376686,-0.376686
-3.9214,-0.595633,0.133734,-0.606803,-0.266362,-0.373969,-0.373969
-3.96163,-0.600387,0.136823,-0.608351,-0.262752,-0.371907,-0.371907
-4.00381,-0.60385,0.140282,-0.611434,-0.257941,-0.370284,-0.370284
-4.04126,-0.607277,0.142864,-0.616465,-0.252383,-0.369591,-0.369591
-4.07562,-0.611107,0.14501,-0.622732,-0.246407,-0.369826,-0.369826
-4.11254,-0.614367,0.147275,-0.628737,-0.240358,-0.370739,-0.370739
-4.15042,-0.61811,0.147753,-0.633172,-0.234854,-0.372076,-0.372076
-4.18676,-0.622442,0.147328,-0.63603,-0.23022,-0.373522,-0.373522
-4.22716,-0.629175,0.147884,-0.637623,-0.226572,-0.375092,-0.375092
-4.26479,-0.634135,0.145681,-0.638443,-0.223558,-0.377102,-0.377102
-4.30563,-0.639968,0.143234,-0.638543,-0.221026,-0.379428,-0.379428
-4.3465,-0.645452,0.13908,-0.63819,-0.21892,-0.382063,-0.382063
-4.38841,-0.650064,0.134995,-0.637362,-0.217016,-0.384543,-0.384543
-4.4331,-0.65389,0.129816,-0.635883,-0.215436,-0.3868,-0.3868
-4.47986,-0.65357,0.127871,-0.634255,-0.21391,-0.388404,-0.388404
-4.52974,-0.658008,0.126007,-0.63183,-0.213402,-0.389354,-0.389354
-4.57526,-0.661195,0.125129,-0.628865,-0.213069,-0.389769,-0.389769
-4.62087,-0.664172,0.128824,-0.626256,-0.213437,-0.389881,-0.389881
-4.66516,-0.667096,0.135214,-0.623885,-0.21425,-0.389794,-0.389794
-4.70631,-0.668869,0.142414,-0.621878,-0.215056,-0.389498,-0.389498
-4.74657,-0.671401,0.149451,-0.62071,-0.215908,-0.389005,-0.389005
-4.78433,-0.672799,0.15469,-0.620348,-0.216933,-0.388506,-0.388506
-4.82257,-0.674177,0.15847,-0.619587,-0.218421,-0.387937,-0.387937
-4.85978,-0.675942,0.16157,-0.617548,-0.220738,-0.387335,-0.387335
-4.89794,-0.678462,0.164234,-0.614045,-0.223885,-0.386677,-0.386677
-4.93814,-0.681286,0.165936,-0.6098,-0.227408,-0.386277,-0.386277
-4.97645,-0.685559,0.166953,-0.606095,-0.230642,-0.386284,-0.386284
-5.0176,-0.691224,0.166019,-0.603598,-0.233198,-0.386963,-0.386963
-5.05787,-0.696282,0.163545,-0.602751,-0.234609,-0.388357,-0.388357
-5.09909,-0.701552,0.159488,-0.603579,-0.234964,-0.390065,-0.390065
-5.13988,-0.705524,0.15397,-0.605888,-0.234508,-0.391984,-0.391984
-5.18125,-0.709668,0.148731,-0.609009,-0.233617,-0.393718,-0.393718
-5.22778,-0.712534,0.145306,-0.611634,-0.232841,-0.395047,-0.395047
