x1,y1,x2,y2
779.7306889623596,3725.073605861543,853.2306889623615,3725.073605861543
997.230688962361,3725.073605861543,1070.7306889623587,3725.073605861543
1214.7306889623592,3725.073605861543,1288.2306889623578,3725.073605861543
1432.2306889623583,3725.073605861543,1505.7306889623587,3725.073605861543
1649.7306889623587,3725.073605861543,1723.23068896236,3725.073605861543
1867.2306889623596,3725.073605861543,1940.7306889623578,3725.073605861543
2084.730688962361,3725.073605861543,2158.230688962359,3725.073605861543
2302.2306889623587,3725.073605861543,2375.7306889623587,3725.073605861543
2519.7306889623587,3725.073605861543,2593.2306889623587,3725.073605861543
2737.230688962359,3725.073605861543,2810.73068896236,3725.073605861543
2954.73068896236,3725.073605861543,3028.230688962363,3725.073605861543
3172.230688962361,3725.073605861543,3245.7306889623633,3725.073605861543
3389.7306889623624,3725.073605861543,3463.230688962362,3725.073605861543
3607.2306889623633,3725.073605861543,3680.730688962362,3725.073605861543
3824.730688962363,3725.073605861543,3898.230688962362,3725.073605861543
4042.230688962361,3725.073605861543,4115.7306889623615,3725.073605861543
4259.730688962362,3725.073605861543,4333.230688962362,3725.073605861543
4477.230688962362,3725.073605861543,4550.730688962362,3725.073605861543
4694.7306889623615,3725.073605861543,4768.2306889623615,3725.073605861543
4923.4806889623615,3569.8236058615444,4923.4806889623615,3496.323605861543
4923.4806889623615,3352.323605861543,4923.4806889623615,3278.823605861542
4923.4806889623615,3134.823605861542,4923.4806889623615,3035.073605861541
4923.4806889623615,2891.073605861542,4923.4806889623615,2791.323605861544
4923.4806889623615,2647.323605861544,4923.4806889623615,2573.823605861543
4923.4806889623615,2429.823605861543,4923.4806889623615,2356.323605861543
1723.23068896236,1331.0736022768729,1649.7306889623587,1331.0736022768729
1119.918266869689,1668.73147731423,1067.945918452478,1720.703825731441
966.122541961613,1822.527202222304,914.1501935444012,1874.499550639515
812.326817053543,1976.3229271303771,760.3544686363311,2028.295275547589
624.4806889623587,2356.323605861541,624.4806889623587,2429.823605861542
624.4806889623587,2573.823605861542,624.4806889623587,2891.073605861542
624.4806889623587,3035.073605861542,624.4806889623587,3352.323605861543
624.4806889623587,3496.323605861543,624.4806889623587,3569.823605861543
1940.7306889623578,1331.0736022768729,1867.2306889623596,1331.0736022768729
2158.230688962359,1331.0736022768729,2084.730688962361,1331.0736022768729
2375.7306889623587,1331.0736022768729,2302.2306889623587,1331.0736022768729
2593.2306889623587,1331.0736022768729,2519.7306889623587,1331.0736022768729
2810.73068896236,1331.0736022768729,2737.230688962359,1331.0736022768729
3028.23068896236,1331.0736022768729,2954.73068896236,1331.0736022768729
3245.73068896236,1331.0736022768729,3172.2306889623596,1331.0736022768729
3516.9806853776918,833.8236058615444,3516.9806853776918,907.3236058615444
3516.9806853776918,616.3236058615448,3516.9806853776918,689.8236058615448
4923.480688962362,2212.323605861544,4923.480688962362,2138.823605861544
4923.480688962362,1994.823605861542,4923.480688962362,1921.323605861542
4923.480688962362,1777.323605861542,4923.480688962362,1703.8236058615419
4923.480688962362,1559.823605861543,4923.480688962362,1486.323605861542
4923.480688962362,1342.323605861543,4923.480688962362,1268.823605861542
4923.480688962362,1124.823605861543,4923.480688962362,1051.3236058615425
4923.480688962362,907.3236058615432,4923.480688962362,833.8236058615424
4923.480688962362,689.8236058615432,4923.480688962362,616.3236058615425
1273.713991777763,1514.935752406156,1221.741643360554,1566.908100823367
658.531094680211,2130.1186545731953,624.4806892848719,2164.169060416795
624.4806892848719,2164.169060416795,624.4806892848719,2212.323605861543
3516.980688961773,1331.0736082930912,3389.730686530813,1331.073597979271
